,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition,Z1_ActualVelocity,clamp_pressure,Y1_CurrentFeedback,X1_OutputPower,Y1_DCBusVoltage,M1_CURRENT_FEEDRATE,Y1_DiffAcceleration
3091,119.0,328.0,0.0214,329.0,339.0,-0.025,3.0,0.853,0.0,0.0153,6.0,37.5
8970,39.7,324.0,0.0241,325.0,1320.0,-0.125,4.0,-1.38,-1.64e-06,0.0226,50.0,0.0
681,28.5,325.0,0.0896,326.0,-1190.0,0.0,4.0,-3.09,0.0011,0.0334,6.0,-18.8
20520,119.0,329.0,2.78e-19,330.0,-273.0,0.0,3.0,-0.256,-9.4e-07,2.78e-19,50.0,0.0
17716,27.7,325.0,0.102,327.0,982.0,0.0,3.0,-2.84,0.000213,0.0585,3.0,-17.902
14539,29.7,326.0,0.0704,327.0,-1770.0,0.0,4.0,-0.6,0.000113,0.0158,3.0,-278.0
5462,29.7,323.0,0.0901,325.0,-673.0,0.0,4.0,5.19,0.000142,0.0932,6.0,-30.18
978,27.5,324.0,0.0637,326.0,398.0,0.0,4.0,-5.46,-1.94e-05,0.103,6.0,929.8
14496,29.7,326.0,0.0771,327.0,-1570.0,-0.025,4.0,-2.76,0.000496,0.0596,3.0,25.0
9498,55.7,326.0,0.0499,327.0,-978.0,0.025,4.0,0.685,2.3e-05,0.0222,50.0,0.0
12380,29.5,325.0,0.0601,327.0,1010.0,0.0,3.0,4.84,0.000381,0.095,3.0,-56.3
13799,27.5,325.0,0.0549,327.0,-18.2,0.025,3.0,7.4,8.23e-06,0.135,3.0,-25.0
16233,119.0,329.0,0.0231,330.0,-2060.0,0.0,4.0,-0.42,-1.76e-06,0.0155,50.0,31.3
14048,28.5,325.0,0.0578,327.0,-1500.0,0.025,3.0,6.14,0.0,0.11,3.0,-43.8
3956,55.5,328.0,0.0683,329.0,1550.0,0.0,3.0,2.77,3.21e-05,0.0419,50.0,6.25
18649,28.7,326.0,0.0562,327.0,625.0,0.0,3.0,5.91,-8.6e-06,0.0905,3.0,37.5
2974,28.5,325.0,0.108,326.0,-1120.0,0.0,3.0,4.84,0.0012,0.101,6.0,22.86
12185,29.5,325.0,0.0635,326.0,181.0,0.025,3.0,-0.74,0.000403,0.0181,3.0,0.0
6407,38.8,324.0,0.0189,325.0,795.0,-5.55,4.0,-0.0988,0.0,0.018,6.0,18.8
19280,28.7,326.0,0.106,327.0,-6.77,0.0,3.0,6.68,0.0011,0.129,6.0,-11.440000000000001
23164,34.5,326.0,0.0253,327.0,-995.0,-3.15,2.5,-3.61,6.71e-06,0.0241,3.0,6.25
22496,28.5,326.0,0.0636,327.0,-1200.0,0.025,2.5,6.49,3.71e-05,0.107,3.0,-6.25
